Country,Clicks,Impressions,CTR,Position
Antigua & Barbuda,0,60,0%,6.32
Kyrgyzstan,0,59,0%,14.88
Gambia,0,52,0%,4.9
Swaziland,0,52,0%,5.1
Montenegro,0,50,0%,8.48
Togo,0,48,0%,11.4
Brunei,0,47,0%,6.43
British Virgin Islands,0,46,0%,7.85
Congo - Brazzaville,0,43,0%,13.07
Fiji,0,40,0%,12.3
Seychelles,0,39,0%,9.67
Yemen,0,39,0%,11.21
Gabon,0,39,0%,11.26
Laos,0,37,0%,13.73
Jersey,0,36,0%,5.78
Macau,0,36,0%,7.03
Madagascar,0,33,0%,11.58
Sudan,0,32,0%,6.72
Dominica,0,29,0%,5.62
Guinea,0,28,0%,8.21
Equatorial Guinea,0,27,0%,7
French Guiana,0,21,0%,8.76
Caribbean Netherlands,0,18,0%,6.44
Mauritania,0,18,0%,6.67
Liechtenstein,0,17,0%,48.76
Bhutan,0,15,0%,13.93
Turkmenistan,0,14,0%,7.29
Tajikistan,0,14,0%,7.57
Djibouti,0,13,0%,8.15
Guernsey,0,12,0%,9.17
Chad,0,11,0%,5.27
American Samoa,0,10,0%,6.7
Burundi,0,10,0%,9.8
French Polynesia,0,10,0%,10.3
Micronesia,0,9,0%,8.22
Greenland,0,8,0%,5.88
New Caledonia,0,8,0%,6.75
Western Sahara,0,8,0%,16.38
Timor-Leste,0,7,0%,5
Anguilla,0,7,0%,10.71
Northern Mariana Islands,0,6,0%,3
Marshall Islands,0,6,0%,4.33
Central African Republic,0,6,0%,5
Faroe Islands,0,5,0%,4.2
Vanuatu,0,5,0%,5.6
Monaco,0,5,0%,6.8
Cook Islands,0,4,0%,4.5
North Korea,0,4,0%,9.25
San Marino,0,4,0%,9.75
Guinea-Bissau,0,4,0%,13.25
British Indian Ocean Territory,0,3,0%,2.67
Tonga,0,3,0%,3
St. Barthélemy,0,3,0%,7.67
Solomon Islands,0,3,0%,15.67
Nauru,0,2,0%,1.5
Samoa,0,2,0%,6
St. Helena,0,2,0%,10
Mayotte,0,2,0%,22.5
Comoros,0,1,0%,1
Kiribati,0,1,0%,1
Falkland Islands (Islas Malvinas),0,1,0%,7
Åland Islands,0,1,0%,8
Palau,0,1,0%,9
São Tomé & Príncipe,0,1,0%,35
